idx,review,gold,raw_output,parsed_json,predicted,valid_json
20,Perfect for a quick lunch. Will return. Could be better.,4,"{""predicted_stars"":3, ""explanation"":""Mixed sentiment with a note for improvement.""}","{""predicted_stars"": 3, ""explanation"": ""Mixed sentiment with a note for improvement.""}",3,True
21,Great ambiance and prompt service.,5,"{""predicted_stars"":5, ""explanation"":""Positive sentiment with no negatives mentioned.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with no negatives mentioned.""}",5,True
22,Great ambiance and prompt service. Not satisfied.,5,"{""predicted_stars"":3, ""explanation"":""Mixed sentiment with positive ambiance but negative satisfaction.""}","{""predicted_stars"": 3, ""explanation"": ""Mixed sentiment with positive ambiance but negative satisfaction.""}",3,True
23,Decent place. Portion sizes were small but taste was good.,3,"{""predicted_stars"":3, ""explanation"":""Good taste but small portion sizes affect overall experience.""}","{""predicted_stars"": 3, ""explanation"": ""Good taste but small portion sizes affect overall experience.""}",3,True
24,Great ambiance and prompt service.,5,"{""predicted_stars"":5, ""explanation"":""Positive sentiment with no explicit negatives.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with no explicit negatives.""}",5,True
25,Great ambiance and prompt service.,5,"{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with no explicit negatives.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with no explicit negatives.""}",5,True
26,Not worth the price. Loved it!,2,"{""predicted_stars"":3, ""explanation"":""Mixed sentiment with a negative price comment.""}","{""predicted_stars"": 3, ""explanation"": ""Mixed sentiment with a negative price comment.""}",3,True
27,Terrible experience — cold food and rude staff.,1,"{""predicted_stars"": 1, ""explanation"": ""Cold food and rude staff indicate a very negative experience.""}","{""predicted_stars"": 1, ""explanation"": ""Cold food and rude staff indicate a very negative experience.""}",1,True
28,The food was amazing and service was excellent.,5,"{""predicted_stars"":5, ""explanation"":""Both food and service received high praise.""}","{""predicted_stars"": 5, ""explanation"": ""Both food and service received high praise.""}",5,True
29,Waited 45 minutes. Will not come back.,1,"{""predicted_stars"":1, ""explanation"":""Long wait time led to a negative experience.""}","{""predicted_stars"": 1, ""explanation"": ""Long wait time led to a negative experience.""}",1,True
30,Perfect for a quick lunch. Will return. Loved it!,4,"{""predicted_stars"":5, ""explanation"":""Positive sentiment, enjoyed the experience, plans to return.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment, enjoyed the experience, plans to return.""}",5,True
31,Staff was friendly but the food was average.,3,"{""predicted_stars"":3, ""explanation"":""Friendly staff but average food leads to a mixed experience.""}","{""predicted_stars"": 3, ""explanation"": ""Friendly staff but average food leads to a mixed experience.""}",3,True
32,Great ambiance and prompt service.,5,"{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with no explicit negatives.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with no explicit negatives.""}",5,True
33,Decent place. Portion sizes were small but taste was good. Could be better.,3,"{""predicted_stars"":3, ""explanation"":""Mixed sentiment with small portions, but good taste.""}","{""predicted_stars"": 3, ""explanation"": ""Mixed sentiment with small portions, but good taste.""}",3,True
34,Waited 45 minutes. Will not come back.,1,"{""predicted_stars"": 1, ""explanation"": ""Long wait time led to a negative experience.""}","{""predicted_stars"": 1, ""explanation"": ""Long wait time led to a negative experience.""}",1,True
35,Staff was friendly but the food was average.,3,"{""predicted_stars"":3, ""explanation"":""Mixed sentiment with friendly staff but average food.""}","{""predicted_stars"": 3, ""explanation"": ""Mixed sentiment with friendly staff but average food.""}",3,True
36,Not worth the price.,2,"{""predicted_stars"":2, ""explanation"":""Negative sentiment about value for money.""}","{""predicted_stars"": 2, ""explanation"": ""Negative sentiment about value for money.""}",2,True
37,Decent place. Portion sizes were small but taste was good.,3,"{""predicted_stars"":3, ""explanation"":""Good taste but small portion sizes affect overall experience.""}","{""predicted_stars"": 3, ""explanation"": ""Good taste but small portion sizes affect overall experience.""}",3,True
38,Staff was friendly but the food was average.,3,"{""predicted_stars"":3, ""explanation"":""Friendly staff but average food leads to a mixed experience.""}","{""predicted_stars"": 3, ""explanation"": ""Friendly staff but average food leads to a mixed experience.""}",3,True
39,Decent place. Portion sizes were small but taste was good. Not satisfied.,3,"{""predicted_stars"":3, ""explanation"":""Mixed sentiment with small portions and good taste, but overall dissatisfaction.""}","{""predicted_stars"": 3, ""explanation"": ""Mixed sentiment with small portions and good taste, but overall dissatisfaction.""}",3,True
40,Not worth the price. Highly recommend.,2,"{""predicted_stars"":3, ""explanation"":""Mixed sentiment; recommendation contrasts with price criticism.""}","{""predicted_stars"": 3, ""explanation"": ""Mixed sentiment; recommendation contrasts with price criticism.""}",3,True
41,Great ambiance and prompt service.,5,"{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with no explicit negatives.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with no explicit negatives.""}",5,True
42,The food was amazing and service was excellent. Highly recommend.,5,"{""predicted_stars"":5, ""explanation"":""Positive sentiment with no negatives, excellent food and service.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with no negatives, excellent food and service.""}",5,True
43,Not worth the price. Loved it!,2,"{""predicted_stars"":3, ""explanation"":""Mixed sentiment with a negative price comment.""}","{""predicted_stars"": 3, ""explanation"": ""Mixed sentiment with a negative price comment.""}",3,True
44,Great ambiance and prompt service. Loved it!,5,"{""predicted_stars"":5, ""explanation"":""Positive sentiment with great ambiance and prompt service.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with great ambiance and prompt service.""}",5,True
45,Perfect for a quick lunch. Will return. Could be better.,4,"{""predicted_stars"":3, ""explanation"":""Mixed sentiment with a positive note but suggests room for improvement.""}","{""predicted_stars"": 3, ""explanation"": ""Mixed sentiment with a positive note but suggests room for improvement.""}",3,True
46,The food was amazing and service was excellent. Could be better.,5,"{""predicted_stars"":3, ""explanation"":""Mixed sentiment with a suggestion for improvement.""}","{""predicted_stars"": 3, ""explanation"": ""Mixed sentiment with a suggestion for improvement.""}",3,True
47,Terrible experience — cold food and rude staff. Loved it!,1,"{""predicted_stars"": 2, ""explanation"": ""Cold food and rude staff overshadowed the positive.""}","{""predicted_stars"": 2, ""explanation"": ""Cold food and rude staff overshadowed the positive.""}",2,True
48,Great ambiance and prompt service.,5,"{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with no explicit negatives.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with no explicit negatives.""}",5,True
49,Waited 45 minutes. Will not come back. Loved it!,1,"{""predicted_stars"":3, ""explanation"":""Mixed sentiment with a long wait time.""}","{""predicted_stars"": 3, ""explanation"": ""Mixed sentiment with a long wait time.""}",3,True
50,Order was wrong and they didn't fix it.,1,"{""predicted_stars"": 2, ""explanation"": ""Order was wrong and not corrected.""}","{""predicted_stars"": 2, ""explanation"": ""Order was wrong and not corrected.""}",2,True
51,Staff was friendly but the food was average.,3,"{""predicted_stars"":3, ""explanation"":""Mixed sentiment with average food, but friendly staff.""}","{""predicted_stars"": 3, ""explanation"": ""Mixed sentiment with average food, but friendly staff.""}",3,True
52,Decent place. Portion sizes were small but taste was good. Could be better.,3,"{""predicted_stars"":3, ""explanation"":""Mixed sentiment with small portions, but good taste.""}","{""predicted_stars"": 3, ""explanation"": ""Mixed sentiment with small portions, but good taste.""}",3,True
53,Staff was friendly but the food was average. Loved it!,3,"{""predicted_stars"":3, ""explanation"":""Mixed sentiment with average food despite friendly staff.""}","{""predicted_stars"": 3, ""explanation"": ""Mixed sentiment with average food despite friendly staff.""}",3,True
54,Decent place. Portion sizes were small but taste was good. Highly recommend.,3,"{""predicted_stars"":4, ""explanation"":""Good taste but small portion sizes.""}","{""predicted_stars"": 4, ""explanation"": ""Good taste but small portion sizes.""}",4,True
55,Terrible experience — cold food and rude staff.,1,"{""predicted_stars"": 1, ""explanation"": ""Cold food and rude staff indicate a very negative experience.""}","{""predicted_stars"": 1, ""explanation"": ""Cold food and rude staff indicate a very negative experience.""}",1,True
56,Waited 45 minutes. Will not come back.,1,"{""predicted_stars"":1, ""explanation"":""Long wait time led to a negative experience.""}","{""predicted_stars"": 1, ""explanation"": ""Long wait time led to a negative experience.""}",1,True
57,Waited 45 minutes. Will not come back. Could be better.,1,"{""predicted_stars"": 2, ""explanation"": ""Long wait time and negative sentiment indicate poor experience.""}","{""predicted_stars"": 2, ""explanation"": ""Long wait time and negative sentiment indicate poor experience.""}",2,True
58,Order was wrong and they didn't fix it. Could be better.,1,"{""predicted_stars"":2, ""explanation"":""Order was wrong and not fixed, indicating poor service.""}","{""predicted_stars"": 2, ""explanation"": ""Order was wrong and not fixed, indicating poor service.""}",2,True
59,Waited 45 minutes. Will not come back.,1,"{""predicted_stars"":1,""explanation"":""Long wait time led to a negative experience.""}","{""predicted_stars"": 1, ""explanation"": ""Long wait time led to a negative experience.""}",1,True
60,Had a nice time; dessert was fantastic.,5,"{""predicted_stars"":5, ""explanation"":""Positive sentiment with a fantastic dessert.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with a fantastic dessert.""}",5,True
61,Great ambiance and prompt service.,5,"{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with no explicit negatives.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with no explicit negatives.""}",5,True
62,Terrible experience — cold food and rude staff. Not satisfied.,1,"{""predicted_stars"": 1, ""explanation"": ""Cold food and rude staff led to a terrible experience.""}","{""predicted_stars"": 1, ""explanation"": ""Cold food and rude staff led to a terrible experience.""}",1,True
63,Order was wrong and they didn't fix it.,1,"{""predicted_stars"": 2, ""explanation"": ""Order was wrong and not corrected.""}","{""predicted_stars"": 2, ""explanation"": ""Order was wrong and not corrected.""}",2,True
64,Decent place. Portion sizes were small but taste was good.,3,"{""predicted_stars"":3, ""explanation"":""Good taste but small portion sizes affect overall experience.""}","{""predicted_stars"": 3, ""explanation"": ""Good taste but small portion sizes affect overall experience.""}",3,True
65,Waited 45 minutes. Will not come back.,1,"{""predicted_stars"":1,""explanation"":""Long wait time led to a negative experience.""}","{""predicted_stars"": 1, ""explanation"": ""Long wait time led to a negative experience.""}",1,True
66,Had a nice time; dessert was fantastic.,5,"{""predicted_stars"": 4, ""explanation"": ""Positive experience with fantastic dessert.""}","{""predicted_stars"": 4, ""explanation"": ""Positive experience with fantastic dessert.""}",4,True
67,Great ambiance and prompt service.,5,"{""predicted_stars"":5, ""explanation"":""Positive sentiment with no explicit negatives.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with no explicit negatives.""}",5,True
68,Great ambiance and prompt service.,5,"{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with no negatives mentioned.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with no negatives mentioned.""}",5,True
69,Not worth the price. Could be better.,2,"{""predicted_stars"":3, ""explanation"":""Mixed sentiment with a suggestion for improvement.""}","{""predicted_stars"": 3, ""explanation"": ""Mixed sentiment with a suggestion for improvement.""}",3,True
70,Had a nice time; dessert was fantastic. Highly recommend.,5,"{""predicted_stars"":5, ""explanation"":""Positive sentiment with a fantastic dessert recommendation.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with a fantastic dessert recommendation.""}",5,True
71,Decent place. Portion sizes were small but taste was good.,3,"{""predicted_stars"":3, ""explanation"":""Good taste but small portion sizes affect overall experience.""}","{""predicted_stars"": 3, ""explanation"": ""Good taste but small portion sizes affect overall experience.""}",3,True
72,Decent place. Portion sizes were small but taste was good. Highly recommend.,3,"{""predicted_stars"":4, ""explanation"":""Good taste but small portion sizes.""}","{""predicted_stars"": 4, ""explanation"": ""Good taste but small portion sizes.""}",4,True
73,Waited 45 minutes. Will not come back.,1,"{""predicted_stars"":1,""explanation"":""Long wait time led to a negative experience.""}","{""predicted_stars"": 1, ""explanation"": ""Long wait time led to a negative experience.""}",1,True
74,Waited 45 minutes. Will not come back.,1,"{""predicted_stars"":1, ""explanation"":""Long wait time led to a negative experience.""}","{""predicted_stars"": 1, ""explanation"": ""Long wait time led to a negative experience.""}",1,True
75,Waited 45 minutes. Will not come back.,1,"{""predicted_stars"": 1, ""explanation"": ""Long wait time led to a negative experience.""}","{""predicted_stars"": 1, ""explanation"": ""Long wait time led to a negative experience.""}",1,True
76,Had a nice time; dessert was fantastic.,5,"{""predicted_stars"": 4, ""explanation"": ""Positive sentiment with a highlight on dessert quality.""}","{""predicted_stars"": 4, ""explanation"": ""Positive sentiment with a highlight on dessert quality.""}",4,True
77,Not worth the price.,2,"{""predicted_stars"":2, ""explanation"":""Negative sentiment about value for money.""}","{""predicted_stars"": 2, ""explanation"": ""Negative sentiment about value for money.""}",2,True
78,Decent place. Portion sizes were small but taste was good.,3,"{""predicted_stars"":3, ""explanation"":""Good taste but small portion sizes affect overall experience.""}","{""predicted_stars"": 3, ""explanation"": ""Good taste but small portion sizes affect overall experience.""}",3,True
79,Had a nice time; dessert was fantastic. Loved it!,5,"{""predicted_stars"":5, ""explanation"":""Positive sentiment with fantastic dessert experience.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with fantastic dessert experience.""}",5,True
80,Had a nice time; dessert was fantastic. Not satisfied.,5,"{""predicted_stars"":3, ""explanation"":""Mixed sentiment with a fantastic dessert but overall dissatisfaction.""}","{""predicted_stars"": 3, ""explanation"": ""Mixed sentiment with a fantastic dessert but overall dissatisfaction.""}",3,True
81,Not worth the price.,2,"{""predicted_stars"":2, ""explanation"":""Negative sentiment about value for money.""}","{""predicted_stars"": 2, ""explanation"": ""Negative sentiment about value for money.""}",2,True
82,Decent place. Portion sizes were small but taste was good. Loved it!,3,"{""predicted_stars"":4, ""explanation"":""Good taste but small portion sizes.""}","{""predicted_stars"": 4, ""explanation"": ""Good taste but small portion sizes.""}",4,True
83,Not worth the price.,2,"{""predicted_stars"":1,""explanation"":""Negative sentiment indicates dissatisfaction with value.""}","{""predicted_stars"": 1, ""explanation"": ""Negative sentiment indicates dissatisfaction with value.""}",1,True
84,Terrible experience — cold food and rude staff. Not satisfied.,1,"{""predicted_stars"": 1, ""explanation"": ""Cold food and rude staff led to a terrible experience.""}","{""predicted_stars"": 1, ""explanation"": ""Cold food and rude staff led to a terrible experience.""}",1,True
85,The food was amazing and service was excellent.,5,"{""predicted_stars"":5, ""explanation"":""Positive sentiment with no negatives.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with no negatives.""}",5,True
86,Great ambiance and prompt service. Highly recommend.,5,"{""predicted_stars"":5, ""explanation"":""Positive sentiment with great ambiance and prompt service.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with great ambiance and prompt service.""}",5,True
87,Staff was friendly but the food was average. Not satisfied.,3,"{""predicted_stars"":3, ""explanation"":""Mixed sentiment with average food and dissatisfaction.""}","{""predicted_stars"": 3, ""explanation"": ""Mixed sentiment with average food and dissatisfaction.""}",3,True
88,Decent place. Portion sizes were small but taste was good.,3,"{""predicted_stars"":3, ""explanation"":""Good taste but small portion sizes affect overall experience.""}","{""predicted_stars"": 3, ""explanation"": ""Good taste but small portion sizes affect overall experience.""}",3,True
89,Terrible experience — cold food and rude staff.,1,"{""predicted_stars"": 1, ""explanation"": ""Cold food and rude staff led to a terrible experience.""}","{""predicted_stars"": 1, ""explanation"": ""Cold food and rude staff led to a terrible experience.""}",1,True
90,Not worth the price.,2,"{""predicted_stars"": 2, ""explanation"": ""Negative sentiment about value for money.""}","{""predicted_stars"": 2, ""explanation"": ""Negative sentiment about value for money.""}",2,True
91,Order was wrong and they didn't fix it.,1,"{""predicted_stars"": 2, ""explanation"": ""Order was wrong and not corrected.""}","{""predicted_stars"": 2, ""explanation"": ""Order was wrong and not corrected.""}",2,True
92,The food was amazing and service was excellent.,5,"{""predicted_stars"":5, ""explanation"":""Positive sentiment with no negatives.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with no negatives.""}",5,True
93,Not worth the price. Loved it!,2,"{""predicted_stars"":3, ""explanation"":""Mixed sentiment with a negative price comment.""}","{""predicted_stars"": 3, ""explanation"": ""Mixed sentiment with a negative price comment.""}",3,True
94,Staff was friendly but the food was average.,3,"{""predicted_stars"":3, ""explanation"":""Friendly staff but average food leads to a mixed experience.""}","{""predicted_stars"": 3, ""explanation"": ""Friendly staff but average food leads to a mixed experience.""}",3,True
95,Great ambiance and prompt service. Not satisfied.,5,"{""predicted_stars"":3, ""explanation"":""Mixed sentiment with positive ambiance but dissatisfaction noted.""}","{""predicted_stars"": 3, ""explanation"": ""Mixed sentiment with positive ambiance but dissatisfaction noted.""}",3,True
96,Perfect for a quick lunch. Will return.,4,"{""predicted_stars"": 5, ""explanation"": ""Positive sentiment; satisfied with the quick lunch experience.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment; satisfied with the quick lunch experience.""}",5,True
97,Terrible experience — cold food and rude staff. Not satisfied.,1,"{""predicted_stars"": 1, ""explanation"": ""Cold food and rude staff led to a terrible experience.""}","{""predicted_stars"": 1, ""explanation"": ""Cold food and rude staff led to a terrible experience.""}",1,True
98,Not worth the price.,2,"{""predicted_stars"":1,""explanation"":""Negative sentiment indicates dissatisfaction with value.""}","{""predicted_stars"": 1, ""explanation"": ""Negative sentiment indicates dissatisfaction with value.""}",1,True
99,Waited 45 minutes. Will not come back.,1,"{""predicted_stars"":1, ""explanation"":""Long wait time led to a negative experience.""}","{""predicted_stars"": 1, ""explanation"": ""Long wait time led to a negative experience.""}",1,True
100,Not worth the price. Not satisfied.,2,"{""predicted_stars"": 2, ""explanation"": ""Customer expresses dissatisfaction and feels the price is unjustified.""}","{""predicted_stars"": 2, ""explanation"": ""Customer expresses dissatisfaction and feels the price is unjustified.""}",2,True
101,Great ambiance and prompt service.,5,"{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with no explicit negatives.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with no explicit negatives.""}",5,True
102,The food was amazing and service was excellent.,5,"{""predicted_stars"":5, ""explanation"":""Positive sentiment with no negatives.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with no negatives.""}",5,True
103,Not worth the price.,2,"{""predicted_stars"":2, ""explanation"":""Negative sentiment about value for money.""}","{""predicted_stars"": 2, ""explanation"": ""Negative sentiment about value for money.""}",2,True
104,Decent place. Portion sizes were small but taste was good.,3,"{""predicted_stars"":3, ""explanation"":""Good taste but small portion sizes affect overall experience.""}","{""predicted_stars"": 3, ""explanation"": ""Good taste but small portion sizes affect overall experience.""}",3,True
105,Not worth the price. Not satisfied.,2,"{""predicted_stars"": 2, ""explanation"": ""Customer expresses dissatisfaction and feels the price is unjustified.""}","{""predicted_stars"": 2, ""explanation"": ""Customer expresses dissatisfaction and feels the price is unjustified.""}",2,True
106,Decent place. Portion sizes were small but taste was good.,3,"{""predicted_stars"":3, ""explanation"":""Good taste but small portion sizes affect overall experience.""}","{""predicted_stars"": 3, ""explanation"": ""Good taste but small portion sizes affect overall experience.""}",3,True
107,Had a nice time; dessert was fantastic.,5,"{""predicted_stars"": 4, ""explanation"": ""Positive sentiment with a highlight on dessert quality.""}","{""predicted_stars"": 4, ""explanation"": ""Positive sentiment with a highlight on dessert quality.""}",4,True
108,Staff was friendly but the food was average.,3,"{""predicted_stars"":3, ""explanation"":""Friendly staff, but average food quality.""}","{""predicted_stars"": 3, ""explanation"": ""Friendly staff, but average food quality.""}",3,True
109,Great ambiance and prompt service. Highly recommend.,5,"{""predicted_stars"":5, ""explanation"":""Positive sentiment with great ambiance and prompt service.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with great ambiance and prompt service.""}",5,True
110,Order was wrong and they didn't fix it.,1,"{""predicted_stars"": 2, ""explanation"": ""Order was wrong and not corrected.""}","{""predicted_stars"": 2, ""explanation"": ""Order was wrong and not corrected.""}",2,True
111,Perfect for a quick lunch. Will return. Could be better.,4,"{""predicted_stars"":3, ""explanation"":""Mixed sentiment with a positive note but room for improvement.""}","{""predicted_stars"": 3, ""explanation"": ""Mixed sentiment with a positive note but room for improvement.""}",3,True
112,Perfect for a quick lunch. Will return.,4,"{""predicted_stars"": 5, ""explanation"": ""Positive sentiment, indicating satisfaction with the experience.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment, indicating satisfaction with the experience.""}",5,True
113,Waited 45 minutes. Will not come back. Not satisfied.,1,"{""predicted_stars"": 1, ""explanation"": ""Long wait and dissatisfaction indicate a poor experience.""}","{""predicted_stars"": 1, ""explanation"": ""Long wait and dissatisfaction indicate a poor experience.""}",1,True
114,Perfect for a quick lunch. Will return.,4,"{""predicted_stars"": 5, ""explanation"": ""Positive sentiment, indicating satisfaction with the experience.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment, indicating satisfaction with the experience.""}",5,True
115,Terrible experience — cold food and rude staff. Not satisfied.,1,"{""predicted_stars"": 1, ""explanation"": ""Cold food and rude staff led to a terrible experience.""}","{""predicted_stars"": 1, ""explanation"": ""Cold food and rude staff led to a terrible experience.""}",1,True
116,Order was wrong and they didn't fix it. Loved it!,1,"{""predicted_stars"":3, ""explanation"":""Order was wrong, but there was a positive sentiment.""}","{""predicted_stars"": 3, ""explanation"": ""Order was wrong, but there was a positive sentiment.""}",3,True
117,Decent place. Portion sizes were small but taste was good. Could be better.,3,"{""predicted_stars"":3, ""explanation"":""Mixed sentiment with small portions, but good taste.""}","{""predicted_stars"": 3, ""explanation"": ""Mixed sentiment with small portions, but good taste.""}",3,True
118,Had a nice time; dessert was fantastic.,5,"{""predicted_stars"": 4, ""explanation"": ""Positive experience with fantastic dessert.""}","{""predicted_stars"": 4, ""explanation"": ""Positive experience with fantastic dessert.""}",4,True
119,Waited 45 minutes. Will not come back. Could be better.,1,"{""predicted_stars"": 2, ""explanation"": ""Long wait time and negative sentiment indicate poor experience.""}","{""predicted_stars"": 2, ""explanation"": ""Long wait time and negative sentiment indicate poor experience.""}",2,True
120,The food was amazing and service was excellent.,5,"{""predicted_stars"":5, ""explanation"":""Positive sentiment with no negatives.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with no negatives.""}",5,True
121,Decent place. Portion sizes were small but taste was good. Highly recommend.,3,"{""predicted_stars"":4, ""explanation"":""Good taste but small portion sizes.""}","{""predicted_stars"": 4, ""explanation"": ""Good taste but small portion sizes.""}",4,True
122,Decent place. Portion sizes were small but taste was good.,3,"{""predicted_stars"":3, ""explanation"":""Good taste but small portion sizes affect overall experience.""}","{""predicted_stars"": 3, ""explanation"": ""Good taste but small portion sizes affect overall experience.""}",3,True
123,Order was wrong and they didn't fix it. Could be better.,1,"{""predicted_stars"":2, ""explanation"":""Order was wrong and not fixed, indicating poor service.""}","{""predicted_stars"": 2, ""explanation"": ""Order was wrong and not fixed, indicating poor service.""}",2,True
124,Waited 45 minutes. Will not come back.,1,"{""predicted_stars"":1,""explanation"":""Long wait time led to a negative experience.""}","{""predicted_stars"": 1, ""explanation"": ""Long wait time led to a negative experience.""}",1,True
125,Decent place. Portion sizes were small but taste was good. Not satisfied.,3,"{""predicted_stars"":3, ""explanation"":""Mixed sentiment with small portions and dissatisfaction.""}","{""predicted_stars"": 3, ""explanation"": ""Mixed sentiment with small portions and dissatisfaction.""}",3,True
126,Had a nice time; dessert was fantastic.,5,"{""predicted_stars"": 4, ""explanation"": ""Positive experience with fantastic dessert.""}","{""predicted_stars"": 4, ""explanation"": ""Positive experience with fantastic dessert.""}",4,True
